Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
1/1/1990,76.25,10.77190018,43,34.824,20.42,0.477218534,1.349418428,0.678001193,15.29
1/2/1990,76.25,10.77190018,43,36.045,21.257,0.041198731,1.28246729,0.740110043,15.83
1/3/1990,76.25,10.77190018,43,36.531,18.102,0,1.517942219,0.612735052,20.93
1/4/1990,76.25,10.77190018,43,33.955,20.629,0,1.971760692,0.562187482,19.29
1/5/1990,76.25,10.77190018,43,32.128,19.723,0,2.601138508,0.511305574,18.48
1/6/1990,76.25,10.77190018,43,26.679,20.841,0.101280204,2.313266689,0.591583362,5.79
1/7/1990,76.25,10.77190018,43,32.922,21.856,2.228163026,1.959021335,0.641766741,13.97
1/8/1990,76.25,10.77190018,43,33.099,21.384,1.88141004,2.155424055,0.71119246,18.97
1/9/1990,76.25,10.77190018,43,32.212,21.395,0.04634856,2.662459445,0.627531063,20.62
1/10/1990,76.25,10.77190018,43,36.122,19.326,0,1.658154492,0.647975233,20.71
1/11/1990,76.25,10.77190018,43,37.391,20.103,0,1.194771429,0.612883945,20.22
1/12/1990,76.25,10.77190018,43,34.628,19.718,0.006866453,1.718103584,0.522968148,18.64
1/13/1990,76.25,10.77190018,43,34.529,12.844,0,1.79761779,0.432772068,22.40
1/14/1990,76.25,10.77190018,43,36.585,13.36,0,1.322583478,0.386377019,22.58
1/15/1990,76.25,10.77190018,43,36.095,13.855,0,1.468486796,0.399711721,22.15
1/16/1990,76.25,10.77190018,43,36.666,14.463,0,1.446747226,0.440900545,22.36
1/17/1990,76.25,10.77190018,43,35.222,15.945,0,1.62510657,0.474431284,22.37
1/18/1990,76.25,10.77190018,43,36.875,15.36,0,1.441865565,0.482271076,20.90
1/19/1990,76.25,10.77190018,43,38.324,13.284,0,1.591026051,0.406487341,22.98
1/20/1990,76.25,10.77190018,43,38.971,14.17,0,1.37344512,0.362416079,23.00
1/21/1990,76.25,10.77190018,43,34.571,16.598,0,1.817803821,0.46924134,22.79
1/22/1990,76.25,10.77190018,43,35.171,16.447,0,1.39966475,0.595840536,22.57
1/23/1990,76.25,10.77190018,43,36.348,14.925,0,1.372763978,0.469603166,22.66
1/24/1990,76.25,10.77190018,43,33.992,18.174,0,1.577737088,0.428182746,21.92
1/25/1990,76.25,10.77190018,43,35.751,19.493,0,1.495505268,0.503417438,21.58
1/26/1990,76.25,10.77190018,43,38.064,17.018,0,1.39983218,0.513205586,22.87
1/27/1990,76.25,10.77190018,43,36.211,14.784,0,1.629378495,0.442434384,23.13
1/28/1990,76.25,10.77190018,43,36.052,13.997,0,1.684246099,0.418458167,23.46
1/29/1990,76.25,10.77190018,43,35.859,15.768,0,1.667259608,0.467255091,23.06
1/30/1990,76.25,10.77190018,43,37.646,16.743,0,1.837570712,0.421270487,23.60
1/31/1990,76.25,10.77190018,43,36.495,16.83,0,1.580888509,0.430969886,23.07
2/1/1990,76.25,10.77190018,43,38.25,16.78,0,1.524595328,0.460257316,23.13
2/2/1990,76.25,10.77190018,43,39.064,16.578,0,1.664948602,0.447726564,23.24
2/3/1990,76.25,10.77190018,43,36.608,15.122,0,1.78882159,0.407708845,23.90
2/4/1990,76.25,10.77190018,43,37.996,14.855,0,1.592408724,0.399193888,24.02
2/5/1990,76.25,10.77190018,43,38.488,16.367,0,1.553322678,0.370485916,23.76
2/6/1990,76.25,10.77190018,43,37.402,15.195,0,1.697062621,0.357438275,24.41
2/7/1990,76.25,10.77190018,43,35.821,19.237,0,2.089323414,0.440981469,23.82
2/8/1990,76.25,10.77190018,43,36.926,20.59,0,2.331357064,0.518974296,23.41
2/9/1990,76.25,10.77190018,43,39.388,21.042,0,1.549853991,0.523566397,22.88
2/10/1990,76.25,10.77190018,43,37.945,22.187,0,1.913508486,0.513100031,23.34
2/11/1990,76.25,10.77190018,43,36.986,20.389,0,1.793667993,0.549293297,23.38
2/12/1990,76.25,10.77190018,43,39.223,21.505,0,1.445579082,0.509869554,21.28
2/13/1990,76.25,10.77190018,43,37.681,21.568,0,1.779646271,0.482196463,23.38
2/14/1990,76.25,10.77190018,43,36.191,21.659,2.221297106,1.527563138,0.590877459,19.50
2/15/1990,76.25,10.77190018,43,32.128,22.842,1.343251159,1.069380414,0.735522361,11.54
2/16/1990,76.25,10.77190018,43,34.761,18.519,0.00686646,1.306302989,0.682924663,21.27
2/17/1990,76.25,10.77190018,43,34.47,17.465,0,1.765716567,0.65417056,23.77
2/18/1990,76.25,10.77190018,43,34.927,17.506,0,1.772290335,0.640321835,23.92
2/19/1990,76.25,10.77190018,43,33.452,19.126,0,1.579140781,0.654248217,18.88
2/20/1990,76.25,10.77190018,43,34.071,18.54,0,1.693224708,0.619118888,24.28
